 

stn;time;uto200s0;tre200s0;rre150z0;rco150z0;sre000z0
BAS;202304092050;5.0;8.0;0.0;0;0
BAS;202304092100;5.1;7.2;0.0;0;0
BAS;202304092110;5.1;7.5;0.0;0;0
BAS;202304092120;5.1;7.2;0.0;0;0
BAS;202304092130;5.2;7.4;0.0;0;0
BAS;202304092140;5.3;7.4;0.0;0;0
BAS;202304092150;5.1;7.8;0.0;0;0
BAS;202304092200;5.1;7.7;0.0;0;0
BAS;202304092210;5.1;7.8;0.0;0;0
BAS;202304092220;5.1;7.5;0.0;0;0
BAS;202304092230;5.1;7.0;0.0;0;0
BAS;202304092240;5.0;6.8;0.0;0;0
BAS;202304092250;5.0;6.2;0.0;0;0
BAS;202304092300;5.0;6.0;0.0;0;0
BAS;202304092310;5.1;5.5;0.0;0;0
BAS;202304092320;5.0;5.4;0.0;0;0
BAS;202304092330;4.9;5.8;0.0;0;0
BAS;202304092340;4.8;4.0;0.0;0;0
BAS;202304092350;4.9;6.2;0.0;0;0
BAS;202304100000;4.9;5.7;0.0;0;0
BAS;202304100010;4.9;6.1;0.0;0;0
BAS;202304100020;4.9;5.6;0.0;0;0
BAS;202304100030;4.9;5.4;0.0;0;0
BAS;202304100040;4.9;6.1;0.0;0;0
BAS;202304100050;4.9;5.7;0.0;0;0
BAS;202304100100;4.9;6.0;0.0;0;0
BAS;202304100110;5.0;5.9;0.0;0;0
BAS;202304100120;5.0;5.9;0.0;0;0
BAS;202304100130;5.0;5.8;0.0;0;0
BAS;202304100140;5.0;5.7;0.0;0;0
BAS;202304100150;5.0;5.4;0.0;0;0
BAS;202304100200;5.0;5.4;0.0;0;0
BAS;202304100210;5.0;4.9;0.0;0;0
BAS;202304100220;5.0;4.8;0.0;0;0
BAS;202304100230;5.0;5.0;0.0;0;0
BAS;202304100240;5.1;4.9;0.0;0;0
BAS;202304100250;5.1;5.0;0.0;0;0
BAS;202304100300;5.0;4.7;0.0;0;0
BAS;202304100310;5.0;4.7;0.0;0;0
BAS;202304100320;5.0;4.4;0.0;0;0
BAS;202304100330;5.0;4.7;0.0;0;0
BAS;202304100340;5.1;4.8;0.0;0;0
BAS;202304100350;5.1;4.8;0.0;0;0
BAS;202304100400;5.0;4.9;0.0;0;0
BAS;202304100410;5.0;5.1;0.0;0;0
BAS;202304100420;4.9;4.9;0.0;0;0
BAS;202304100430;4.9;5.1;0.0;0;0
BAS;202304100440;4.9;5.0;0.0;0;0
BAS;202304100450;4.9;4.9;0.0;0;0
BAS;202304100500;5.0;4.9;0.0;0;0
BAS;202304100510;4.9;4.7;0.0;0;0
BAS;202304100520;4.9;5.0;0.0;0;0
BAS;202304100530;5.0;4.9;0.0;0;0
BAS;202304100540;5.0;5.2;0.0;0;0
BAS;202304100550;5.1;5.4;0.0;0;2
BAS;202304100600;5.1;5.7;0.0;0;9
BAS;202304100610;5.0;5.9;0.0;0;10
BAS;202304100620;5.1;6.4;0.0;0;10
BAS;202304100630;5.0;6.8;0.0;0;10
BAS;202304100640;5.1;7.2;0.0;0;10
BAS;202304100650;5.2;7.5;0.0;0;10
BAS;202304100700;5.2;7.6;0.0;0;10
BAS;202304100710;5.2;8.1;0.0;0;10
BAS;202304100720;5.2;8.4;0.0;0;10
BAS;202304100730;5.2;9.1;0.0;0;10
BAS;202304100740;5.2;9.7;0.0;0;10
BAS;202304100750;5.4;10.3;0.0;0;10
BAS;202304100800;5.3;10.5;0.0;0;10
BAS;202304100810;5.5;10.7;0.0;0;10
BAS;202304100820;5.3;10.9;0.0;0;10
BAS;202304100830;5.6;11.4;0.0;0;10
BAS;202304100840;5.5;11.7;0.0;0;10
BAS;202304100850;5.7;12.2;0.0;0;10
BAS;202304100900;5.6;12.2;0.0;0;10
BAS;202304100910;5.6;12.1;0.0;0;10
BAS;202304100920;5.8;12.4;0.0;0;10
BAS;202304100930;5.8;13.0;0.0;0;10
BAS;202304100940;5.9;13.4;0.0;0;10
BAS;202304100950;6.0;14.2;0.0;0;10
BAS;202304101000;5.9;13.6;0.0;0;10
BAS;202304101010;6.1;14.3;0.0;0;10
BAS;202304101020;6.2;15.3;0.0;0;10
BAS;202304101030;6.3;15.2;0.0;0;10
BAS;202304101040;6.2;15.5;0.0;0;10
BAS;202304101050;5.9;15.1;0.0;0;10
BAS;202304101100;6.6;16.4;0.0;0;9
BAS;202304101110;6.4;16.5;0.0;0;0
BAS;202304101120;6.0;16.3;0.0;0;0
BAS;202304101130;6.2;16.5;0.0;0;10
BAS;202304101140;5.6;16.1;0.0;0;10
BAS;202304101150;5.7;16.2;0.0;0;10
BAS;202304101200;5.7;16.7;0.0;0;10
BAS;202304101210;5.6;16.9;0.0;0;10
BAS;202304101220;6.1;16.8;0.0;0;10
BAS;202304101230;6.0;17.4;0.0;0;5
BAS;202304101240;5.7;16.8;0.0;0;0
BAS;202304101250;5.7;16.5;0.0;0;0
BAS;202304101300;6.1;17.5;0.0;0;3
BAS;202304101310;6.0;17.0;0.0;0;6
BAS;202304101320;6.1;17.4;0.0;0;0
BAS;202304101330;6.3;17.4;0.0;0;0
BAS;202304101340;6.0;17.1;0.0;0;0
BAS;202304101350;6.0;16.9;0.0;0;0
BAS;202304101400;6.1;17.1;0.0;0;0
BAS;202304101410;6.2;17.3;0.0;0;0
BAS;202304101420;6.4;17.4;0.0;0;0
BAS;202304101430;6.1;17.1;0.0;0;0
BAS;202304101440;6.2;17.1;0.0;0;0
BAS;202304101450;6.6;17.0;0.0;0;0
BAS;202304101500;6.6;17.1;0.0;0;0
BAS;202304101510;6.3;17.0;0.0;0;0
BAS;202304101520;6.4;16.9;0.0;0;0
BAS;202304101530;6.4;16.7;0.0;0;0
BAS;202304101540;6.3;16.9;0.0;0;0
BAS;202304101550;6.4;16.9;0.0;0;0
BAS;202304101600;6.5;16.9;0.0;0;0
BAS;202304101610;6.9;16.8;0.0;0;0
BAS;202304101620;6.7;16.7;0.0;0;0
BAS;202304101630;7.0;16.7;0.0;0;0
BAS;202304101640;6.8;16.8;0.0;0;0
BAS;202304101650;6.9;16.7;0.0;0;0
BAS;202304101700;7.0;16.5;0.0;0;0
BAS;202304101710;7.1;16.4;0.0;0;0
BAS;202304101720;6.2;16.4;0.0;0;0
BAS;202304101730;6.1;16.2;0.0;0;0
BAS;202304101740;6.1;16.0;0.0;0;0
BAS;202304101750;6.1;16.0;0.0;0;0
BAS;202304101800;6.1;15.8;0.0;0;0
BAS;202304101810;5.9;15.6;0.0;0;0
BAS;202304101820;6.2;14.9;0.0;0;0
BAS;202304101830;6.2;14.8;0.0;0;0
BAS;202304101840;6.6;13.9;0.0;0;0
BAS;202304101850;6.1;14.8;0.0;0;0
BAS;202304101900;6.0;14.9;0.0;0;0
BAS;202304101910;6.0;14.6;0.0;0;0
BAS;202304101920;6.2;14.1;0.0;0;0
BAS;202304101930;6.1;14.2;0.0;0;0
BAS;202304101940;5.4;15.0;0.0;0;0
BAS;202304101950;5.4;14.8;0.0;0;0
BAS;202304102000;5.4;14.7;0.0;0;0
BAS;202304102010;5.4;14.9;0.0;0;0
BAS;202304102020;5.3;15.0;0.0;0;0
BAS;202304102030;5.7;14.2;0.0;0;0
BAS;202304102040;6.1;13.8;0.0;1;0
BAS;202304102050;5.8;14.0;0.0;2;0
BAS;202304102100;5.8;14.1;0.0;0;0
BAS;202304102110;6.1;13.4;0.0;0;0
BAS;202304102120;6.2;13.1;0.0;0;0
BAS;202304102130;5.9;14.3;0.0;0;0
BAS;202304102140;5.8;14.5;0.0;0;0
BAS;202304102150;5.7;15.2;0.0;0;0
BAS;202304102200;5.6;15.6;0.0;0;0
BAS;202304102210;5.6;15.7;0.0;0;0
BAS;202304102220;5.6;15.7;0.0;0;0
BAS;202304102230;5.5;15.8;0.0;0;0
BAS;202304102240;5.6;15.5;0.0;0;0
BAS;202304102250;5.6;15.6;0.0;0;0
BAS;202304102300;5.6;15.5;0.0;0;0
BAS;202304102310;6.0;14.4;0.0;0;0
BAS;202304102320;5.9;14.9;0.0;0;0
BAS;202304102330;6.0;14.2;0.0;0;0
BAS;202304102340;5.6;15.6;0.0;0;0
BAS;202304102350;5.6;15.6;0.0;0;0
BAS;202304110000;5.6;15.6;0.0;1;0
BAS;202304110010;5.8;15.5;0.0;6;0
BAS;202304110020;5.9;15.4;0.0;0;0
BAS;202304110030;5.9;15.4;0.0;1;0
BAS;202304110040;5.8;15.3;0.0;0;0
BAS;202304110050;5.9;14.9;0.0;0;0
BAS;202304110100;6.1;14.6;0.0;0;0
BAS;202304110110;6.3;14.5;0.0;0;0
BAS;202304110120;6.4;14.5;0.0;0;0
BAS;202304110130;6.8;14.6;0.0;2;0
BAS;202304110140;7.0;14.4;0.0;0;0
BAS;202304110150;7.2;14.2;0.0;5;0
BAS;202304110200;7.4;14.0;0.0;7;0
BAS;202304110210;8.3;12.6;0.2;10;0
BAS;202304110220;8.5;11.8;0.2;10;0
BAS;202304110230;8.7;11.6;0.1;10;0
